Name,Cuisine / Type,Google Rating,ImageURL
L&L Hawaiian Barbecue,Hawaiian BBQ (Plate Lunch),4.1,https://s3-media2.fl.yelpcdn.com/bphoto/EjHCtnVf7calyksHPa3hBg/o.jpg
Rin-Tei,Asian Fusion (Japanese & Thai),4.2,https://s3-media3.fl.yelpcdn.com/bphoto/GgGrNCOOSQ44KF2X8TeT6Q/o.jpg
Samikcha MoMo,Nepalese/Indian (Indo-Chinese Fusion),4.5,https://s3-media3.fl.yelpcdn.com/bphoto/-Qy98AUp_8NZbb-u4qm2cg/o.jpg
Urban Momo,Nepalese/Indian (Indo-Chinese Fusion),4.4,https://s3-media2.fl.yelpcdn.com/bphoto/Ri0Af_u7B7ql3aiOzudmPQ/o.jpg
Sushirrito,Fusion (Sushi Burrito),4,https://s3-media3.fl.yelpcdn.com/bphoto/tqrobosyz8YUjYv3QJKfwg/o.jpg
Amici’s East Coast Pizzeria,Pizza (NY-Style),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/rnodsbgj3eV1TgAhmQYEzg/o.jpg
Domino’s Pizza,Pizza (Delivery Chain),3.7,https://s3-media4.fl.yelpcdn.com/bphoto/jBCAZQb_Y-KiZAsthZmV8g/o.jpg
Mountain Mike’s Pizza,Pizza (Delivery Chain),4.2,https://s3-media3.fl.yelpcdn.com/bphoto/PGNOHZx93_yvEOZtVusSfg/o.jpg
Mr. Pizza Man,Pizza (Delivery/Takeout),4,https://s3-media3.fl.yelpcdn.com/bphoto/aM5b2dLkcUwcz3ERcSWa_Q/o.jpg
New York Pizza,Pizza (NY-Style),4,https://s3-media2.fl.yelpcdn.com/bphoto/1qRiT0jgXkXPhMf0-dFitg/o.jpg
North Beach Pizza,Pizza (Italian-American),4,https://s3-media3.fl.yelpcdn.com/bphoto/tSWwGZ7W_4JRGybU69fCDQ/o.jpg
Pizza My Heart,Pizza (Slice Shop),4.5,https://s3-media2.fl.yelpcdn.com/bphoto/PTtbTtvERQKGPitOTfLG8Q/o.jpg
Curry Pizza House,Pizza (Indian Fusion),4.3,https://s3-media1.fl.yelpcdn.com/bphoto/YwmowYnwxdn6GBy4STdU9Q/o.jpg
Porterhouse,Steakhouse,4.4,https://s3-media2.fl.yelpcdn.com/bphoto/Z1hEYs6t_BHLFkUWqxV0nQ/o.jpg
San Mateo Prime,Steakhouse,4.3,https://s3-media3.fl.yelpcdn.com/bphoto/uGiSZBjEl2D8qTFMFWfVQw/o.jpg
New Thai Elephant,Thai,4.3,https://s3-media1.fl.yelpcdn.com/bphoto/AWTBY_VZw2niNpQSk5PkdA/o.jpg
Thonglor Thai Bistro,Thai,4.1,https://s3-media2.fl.yelpcdn.com/bphoto/ymqb_DjRx8IpfGXh1IBSvQ/o.jpg
Gao Viet Kitchen,Vietnamese (Pho & more),4.4,https://s3-media2.fl.yelpcdn.com/bphoto/xTyZeBDeNf0giRo2Ou73xw/o.jpg
M Sandwiches Café,Vietnamese (Banh Mi & Sandwiches),4.5,https://s3-media3.fl.yelpcdn.com/bphoto/KCTPxDb_fS81GHu_6_5sKg/o.jpg
